legacy_id,uuid,name,equipment_type
1,b0f9c141-c9b2-4825-8cf2-ad0f47389674,"Arnold Press",dumbbell
2,b7d44f11-4ee5-45e2-9748-57ec3d9ae3cf,"Assisted Dip",machine assistance
3,7a41db44-d443-4838-b0e6-f8c5dffecf06,"Assisted Pullup (Normal Grip)",machine assistance
4,94dbca1c-b892-41c4-b2ba-472621797d79,"Assisted Pullup (Parallel Grip)",machine assistance
5,bca1ac79-7ed6-42be-811a-f795f9dcea1e,"Back Raise (45 degree)",bodyweight only
6,f67f7c97-d32d-4379-a074-68027eaad784,"Back Raise (45 Degree)",bodyweight loadable
7,02ae7ec5-d089-4154-a618-a8a59467cc33,"Barbell Hip Thrust",barbell
8,ba74baeb-ddf6-4a55-b637-513579e79964,"Barbell Overhead Triceps Extension (Seated)",barbell
9,fc8ed3df-4300-43da-9ac3-1108e625a20d,"Barbell Skullcrusher",barbell
10,3da81ce9-40d5-4ae8-9323-a4ba2128c2c4,"Barbell Split Squat",barbell
11,76f47a8b-b1d9-4b14-8bf7-0b6f3bdf7d6a,"Barbell Squat (Close Stance, Feet Forward)",barbell
12,c690e814-00bd-4f23-aefa-3bbde9295699,"Barbell Squat (Heel Elevated)",barbell
13,cc689dc3-debf-4719-a298-3492de494eb8,"Barbell Squat (High Bar)",barbell
14,22cde125-9577-4519-80b5-8ca26427116f,"Barbell Squat (Narrow Stance)",barbell
15,c8772879-26a5-4ab5-85d5-98b424ddeb3f,"Barbell Squat (Sumo Stance)",barbell
16,1646ac40-9633-4372-aff1-ff856c5a3cc8,"Belt Squat",machine
17,14d5cd36-b7cf-40ae-934b-5292341f1c21,"Belt Squat (Wide Stance)",machine
18,a68a3a23-f7f3-4a39-8905-63067db12af1,"Bench Press (Incline, Medium Grip)",barbell
19,334fab56-db2b-4581-ac61-1e35b9900853,"Bench Press (Medium Grip)",barbell
20,37bdc1be-ae22-4cd0-8d43-52ab4f8e6149,"Booty Builder Hip Thrust",machine
21,10ba5830-d8aa-4f75-9454-be8de3a347be,"Cable Curl",cable
22,6e664417-322c-4d10-b66b-8222747f11cd,"Cable Flye",cable
23,d765b867-9362-472b-8d51-12053648ac1f,"Cable Flye (Bent Over)",cable
24,ed34542c-d8b9-474d-8319-8e71aff3f093,"Cable Flye (High)",cable
25,58f42a71-88db-4acb-a662-6ead63749e40,"Cable Front Raise (Underhand)",cable
26,1a142a6a-128e-427e-a350-e49722919163,"Cable Hammer Curl (Rope)",cable
27,01338fc9-f29f-4874-8d5b-831431859a61,"Cable Lateral Raise (Single-Arm)",cable
28,fb37c4f8-0fba-4ffb-a556-f363d744811d,"Cable Leaning Lateral Raise",cable
29,228a646b-844b-4830-8264-db46b8af5983,"Cable Overhead Triceps Extension",cable
30,cad996b3-3339-4984-a0a1-29566d9ed76a,"Cable Overhead Triceps Extension (Rope)",cable
31,db4283ff-10f1-48b5-a24c-54d48cdc4867,"Cable Rope Facepull",cable
32,2358e04f-a242-407f-9ee9-c1542bbddd41,"Cable Rope Twist Curl",cable
33,cb46df9d-c536-4aa1-806e-4f8e696a5425,"Cable Rotator Cuff Rotation (Internal)",cable
34,aa1ad528-619b-4aec-bf5f-739ae6a920d6,"Cable Tricep Kickback",cable
35,ecd0a41b-b253-4e7b-80b2-81a218a87589,"Cable Triceps Pushdown (Bar)",cable
36,2d9ed30d-1915-4c05-89cf-257b03972dbb,"Cable Triceps Pushdown (Rope)",cable
37,5af67dcc-ea94-469e-8963-06efdbea349e,"Cable Triceps Pushdown (Single-Arm)",cable
38,700d1261-be0d-40d9-bbf7-f5403f1c0028,"Cable Upright Row",cable
39,e799578d-dce7-4017-ae21-86971e68c690,"Calf Machine",machine
40,23077157-95aa-4dc5-a10c-beec6428ac88,"Calf Raise - Seated",machine
41,d6c96b31-80d1-46e0-8518-017870ca30e2,"Chest Supported Row",machine
42,830fca1b-05f2-430b-9322-879e38d299bc,"Barbell Bent Over Shrug",barbell
43,53491c89-d323-45e3-8c2d-5184d2a0bf3e,"Deadlift (Deficit)",barbell
44,c14dfa3c-8ce3-480c-93ab-4f569c143c75,"Dip (Triceps-Focused)",bodyweight only
45,29f0f848-0a33-44c0-a113-ab79ba8af0ec,"Dip (Weighted, Triceps-Focused)",bodyweight loadable
46,4ded147b-84bc-472e-a073-7065ea6f6015,"Dumbbell Bent Lateral Raise",dumbbell
47,22c73c4a-3c3b-4992-9670-4b4dfda612c5,"Dumbbell Curl (2-Arm)",dumbbell
48,f6642507-3475-41b6-b642-cedadd813876,"Dumbbell Curl (Alternating)",dumbbell
49,9ca82a1b-483c-434e-b4b3-e6562c0d3a0e,"Dumbbell Curl (Incline)",dumbbell
50,81687766-7269-400a-9fb8-5897d9b553f5,"Dumbbell Flye (Flat)",dumbbell
51,466252b8-397c-4168-885e-72ba99dc9904,"Dumbbell Flye (Incline)",dumbbell
52,13a6ce2a-481b-4d9b-ae19-593615dc47ae,"Dumbbell Front Raise",dumbbell
53,eb2ed5e9-9d6a-48b9-90cf-fc5833183cb6,"Dumbbell Lateral Raise",dumbbell
54,4cd414fb-8970-498b-8d1b-7301d4b716f7,"Dumbbell Lateral Raise (Incline)",dumbbell
55,b217ee33-af8f-4710-87e9-9359b1d84542,"Dumbbell Lateral Raise (Super ROM)",dumbbell
56,940f5f89-6e69-4be2-9bfa-cbf2f98dda75,"Dumbbell Overhead Extension",dumbbell
57,297092b4-a5db-46ba-8077-713c428b3fba,"Dumbbell Overhead Extension (Single-Arm)",dumbbell
58,7d4fc360-5bf8-4b89-abb5-5ebb0237f577,"Dumbbell Press (Flat)",dumbbell
59,05bf2658-eb11-4e56-9da7-7bfea06a6082,"Barbell Shrug",barbell
60,b949770d-e87c-4fc4-9bbb-a7a9b7ff5393,"Dumbbell Press (Low Incline)",dumbbell
61,7e2162c1-272f-42d2-a797-b3be798ea34d,"Dumbbell Press (Medium Incline)",dumbbell
62,66aa70fd-eaed-448e-a340-a8008ace64fe,"Dumbbell Press Flye (Incline)",dumbbell
63,5d855db4-6ee6-42ee-8d32-f551b5f0343c,"Dumbbell Rotator Cuff Rotation (External)",dumbbell
64,055b0bf8-8e40-4528-b8b0-7be33b164477,"Dumbbell Row (2-Arm)",dumbbell
65,9552fe95-cacc-42ef-b8b1-adc4cb0c88db,"Dumbbell Row (2-Arm, Incline)",dumbbell
66,d725412f-01de-4e9e-867b-e45973d1e1ca,"Dumbbell Row (Single-Arm, Supported)",dumbbell
67,50362bd5-1995-4057-925d-9689b9bb07f8,"Dumbbell Row to Hips",dumbbell
68,0082cf22-4a16-4adc-b7b4-97b30c2714a1,"Dumbbell Shoulder Press (Seated)",dumbbell
69,a7af8918-c963-4572-bf69-8aa922a88ebb,"Dumbbell Shrug (Seated)",dumbbell
70,cdce2e2c-7217-4ff3-b202-bf8c65dc0357,"Dumbbell Skullcrusher",dumbbell
71,7c4f4fa8-325a-4637-8756-d313d0a18f90,"Dumbbell Split Squat",dumbbell
72,3bc7fec6-3524-4df7-a711-5bff93cc5aa8,"Dumbbell Stiff Legged Deadlift",dumbbell
73,c6974742-5642-4846-a939-f8a627493608,"Dumbbell Upright Row",dumbbell
74,a3ec5797-c2fa-465f-9a94-02f0beac7c43,"Dumbbell Y-Raise",dumbbell
75,836bf4cd-b6b2-4335-9a1a-099cd158c223,"Dumbbell Y-Raise (seated)",dumbbell
76,2a87796c-a99e-4e29-9143-293df41e5303,"EZ Bar Curl (Narrow Grip)",barbell
77,b79ede74-c10c-44d1-a9b6-d38019d0f384,"EZ Bar Overhead Triceps Extension",barbell
78,99fb0e97-4e7e-48fd-8c9d-2caac299353c,"EZ Bar Overhead Triceps Extension (Seated)",barbell
79,ad9946cd-ba55-41f3-a833-59c264b5c1a7,"EZ Bar Preacher Curl",barbell
80,2c5cb9e5-8597-492b-a9e4-ce2dacd2668b,"GluteBuilder Hip Thrust",machine
81,7828d69a-ac2d-441a-9df8-da6243a2bf06,"Cable Bent Over Shrug",cable
82,15259943-52bd-47f2-ad68-33c9e5ad5f23,"Hammer Curl",dumbbell
83,2b88045c-55a9-4f1f-8123-b0e80848efc4,"Hammer Machine Chest Press (Flat)",machine
84,2c247910-a61e-47bc-b565-43b949a9edaf,"Hammer Machine Row (High)",machine
85,6ae7418d-69fd-4707-866d-69057ad2e3e4,"Hammer Machine Row (Low)",machine
86,190a666e-149a-434d-bcf4-2e720f717153,"Kneeling Hamstring Curl",machine
87,9c256464-7b58-43ce-930d-643f8b2ea05d,"Leg Extension",machine
88,73924103-296a-469f-8d99-f7ded1699ac1,"Leg Press",machine
89,85e1bee0-791d-48f5-b84a-9d30399769b4,"Leg Press (Watson Split Leg Press)",machine
90,8aa6afae-bf6e-4007-9b5a-ac235da29f4a,"Leg Press Calves",machine
91,53e7d488-1af0-48e7-a085-9c1835db226b,"Lying Biceps Dumbbell Curl",dumbbell
92,b865580a-59af-4d3f-90cf-96b09010d174,"Lying Leg Curl",machine
93,f0521df5-44e6-49fe-a813-d936364417cd,"Machine Bent Over Lateral Raise (MaxPump)",machine
94,a436700c-e0ba-4177-8946-9eb045801771,"Machine Chest Press",machine
95,dfd6fefa-24a1-4b73-aa0b-f576adf08046,"Machine Chest Press (Incline)",machine
96,357f2e59-1484-4b88-a377-f87cc146b4f7,"Machine Chest Supported Row",machine
97,65ac6a27-fc16-4b8b-b7e4-c0616a8e6b94,"Machine Crunch",machine
98,4531fc6a-bb35-4986-93dd-48903ae4012d,"Machine Flye",machine
99,3ddb8351-7e67-4743-a757-dc187b7c50c6,"Machine Glute Kickback",machine
100,3341a578-d76a-4b39-976c-e2cda273a362,"Machine Lateral Raise",machine
101,5bb7c74a-7f64-4905-8445-5ac42080e03e,"Machine Lateral Raise (MaxPump)",machine
102,e5a5c421-eb03-4e2e-875f-56ba1a484e6f,"Machine Leg Extension (MaxPump)",machine
103,3ccee8a0-8cd3-4d42-a5d8-33a0e49c1ded,"Machine Low Row",machine
104,efbd21e4-e60d-4642-ab5c-17cca4071058,"Machine Mid Row",machine
105,6bba6105-e3b5-4839-9a99-fea74d3da7ca,"Machine Preacher Curl",machine
106,05afd4a2-6385-4fce-82dc-515402020a0a,"Machine Preacher Curl (MaxPump)",machine
107,7c383cef-4f68-40e3-9d81-734c3db94773,"Machine Pulldown",machine
108,96406ffa-c2f4-418b-aa8f-fae92548e800,"Machine Pullover",machine
109,7ce929ec-52b5-4886-b656-1c91b1ce7380,"Machine Reverse Flye",machine
110,1a4d2c30-6d7a-4a84-ac97-1bd97c03024a,"Machine Shoulder Press",machine
111,b33fb0d3-fcea-464e-89b7-ff226a9645a3,"Machine Tricep Overhead Extension (MaxPump)",machine
112,c29a63f5-7dab-4ba8-aa20-737b8d361e5e,"Machine Triceps Extension",machine
113,54f9ff2c-72f3-4ebe-9a29-8c8f2f4bb84b,"Machine Triceps Pushdown",machine
114,c08d8ef6-99be-43d5-a078-1d2dbc0e1837,"MaxPump Hip Press (Single Leg)",machine
115,c1c0b2e0-a8e1-42d6-a7f6-5a8bc2649aca,"MaxPump Incline Press",machine
116,e485f495-7dce-4bc9-9d3a-be3abe290578,"MaxPump Seated Multi High Row (Single Arm)",machine
117,61b545ee-a2f3-48bb-abb6-462fdd033d58,"Pendulum Calves",machine
118,2385809d-e996-4ee3-896d-29ffb0cf813c,"Pendulum Squat",machine
119,d93ca0e1-3030-431c-ba3b-a36c62c77ace,"Power Squat",machine
120,d96793f9-a58e-4c24-ab51-a019e2c936ec,"Pull Down (Mag Grip)",cable
121,5fd34edf-f884-4ec2-8358-ef9698d2c83d,"Pulldown (Normal Grip)",cable
122,f78d0d33-de46-41d6-a62b-2b9529f4432b,"Pulldown (Parallel Grip)",cable
123,c40759e0-dbfb-4348-9922-f4adc1bcba48,"Pulldown (Straight Arm)",cable
124,9b173474-eb5a-45bd-bf63-d252f98d4e00,"Pulldown (Wide Grip)",cable
125,5ff5fe08-6bbe-4bbe-9c54-26102a4ce33e,"Pullup (Weighted, Normal Grip)",bodyweight loadable
126,cb49f637-eca8-4e97-8ea3-a045a63ec259,"Pushup",bodyweight only
127,21841330-1244-4f8d-b1af-c5d6c579aad6,"Rear Delt Fly",machine
128,bb33eb35-3270-47d3-a4ba-2f04390042e9,"Reverse Lunge (Barbell)",barbell
129,b1aa7aa2-bb3e-4772-91c0-126101cffdf1,"Scapular Retraction - MegaMass Row",machine
130,36e11ee9-fc37-404f-a124-5df3b0888136,"Seated Cable Row",cable
131,6e5e90d9-d84a-4bce-b475-c5375047bd90,"Seated Leg Curl",machine
132,a7c6f6ce-b091-4f61-a7b3-a4ee240f0e52,"Single Leg Extension",machine
133,f2126314-82fe-4e7a-b92a-1d9ece941015,"Single-Leg Leg Curl",machine
134,1a778326-f737-4a83-a57f-ce381daef5f8,"Slant Board Sit-Up (Weighted)",bodyweight loadable
135,56d097ed-f1df-4f79-a361-62e0f86b1f73,"Slope squat",machine
136,fcac5df4-c921-4d78-9fe1-a8a80bc82e16,"Smith Machine Bench Press (Medium Grip)",smith machine
137,8e265883-bde9-49e3-ac39-181836e565a2,"Smith Machine Calves",smith machine
138,36443a70-3bb3-4d19-8954-c974fc7df96e,"Smith Machine Good Morning",smith machine
139,72b20da8-dd30-4c96-b586-364afd4ceddf,"Smith Machine Shoulder Press (Seated)",smith machine
140,f554f5eb-be83-4a18-a6b1-f854b730d380,"Cable Shrug",cable
