ID,Exercise Name,Primary Muscle Group,Secondary Muscle Group,Exercise Type,x tracked
39,Calf Machine,Calves,,machine,206
131,Seated Leg Curl,Hamstrings,,machine,184
47,Dumbbell Curl (2-Arm),Biceps,,dumbbell,167
35,Cable Triceps Pushdown (Bar),Triceps,,cable,163
192,Deadlift,Glutes,Hamstrings,barbell,149
88,Leg Press,Quads,Glutes,machine,145
87,Leg Extension,Quads,,machine,144
19,Bench Press (Medium Grip),Chest,Triceps,barbell,125
121,Pulldown (Normal Grip),Back,Biceps,cable,106
98,Machine Flye,Chest,,machine,106
146,Stiff-Legged Deadlift,Hamstrings,Glutes,barbell,106
100,Machine Lateral Raise,Shoulders,Traps,machine,88
110,Machine Shoulder Press,Shoulders,,machine,87
79,EZ Bar Preacher Curl,Biceps,,barbell,80
236,Hack Squat,Quads,,machine,75
49,Dumbbell Curl (Incline),Biceps,,dumbbell,70
99,Machine Glute Kickback,Glutes,,machine,70
107,Machine Pulldown,Back,Biceps,machine,63
130,Seated Cable Row,Back,,cable,62
13,Barbell Squat (High Bar),Quads,Glutes,barbell,62
9,Barbell Skullcrusher,Triceps,,barbell,61
53,Dumbbell Lateral Raise,Shoulders,,dumbbell,59
29,Cable Overhead Triceps Extension,Triceps,,cable,56
68,Dumbbell Shoulder Press (Seated),Shoulders,,dumbbell,53
30,Cable Overhead Triceps Extension (Rope),Triceps,,cable,53
21,Cable Curl,Biceps,,cable,48
31,Cable Rope Facepull,Shoulders,,cable,47
58,Dumbbell Press (Flat),Chest,Triceps,dumbbell,46
86,Kneeling Hamstring Curl,Hamstrings,,machine,46
92,Lying Leg Curl,Hamstrings,,machine,43
66,"Dumbbell Row (Single-Arm, Supported)",Back,Biceps,dumbbell,42
61,Dumbbell Press (Medium Incline),Chest,Shoulders,dumbbell,42
36,Cable Triceps Pushdown (Rope),Triceps,,cable,39
60,Dumbbell Press (Low Incline),Chest,,dumbbell,38
11,"Barbell Squat (Close Stance, Feet Forward)",Quads,,barbell,38
28,Cable Leaning Lateral Raise,Shoulders,traps,cable,38
40,Calf Raise - Seated,Calves,,machine,37
7,Barbell Hip Thrust,Glutes,Hamstrings,barbell,36
83,Hammer Machine Chest Press (Flat),Chest,Triceps,machine,34
237,Machine Hip Thrust,Glutes,Hamstrings,machine,34
105,Machine Preacher Curl,Biceps,,machine,33
18,"Bench Press (Incline, Medium Grip)",Chest,Triceps,barbell,33
96,Machine Chest Supported Row,Back,Biceps,machine,31
67,Dumbbell Row to Hips,Back,,dumbbell,30
48,Dumbbell Curl (Alternating),Biceps,,dumbbell,30
51,Dumbbell Flye (Incline),Chest,,dumbbell,30
97,Machine Crunch,Abs,,machine,29
14,Barbell Squat (Narrow Stance),Quads,Glutes,barbell,29
32,Cable Rope Twist Curl,Biceps,,cable,27
91,Lying Biceps Dumbbell Curl,Biceps,,dumbbell,27
90,Leg Press Calves,Calves,,machine,27
126,Pushup,Chest,Triceps,bodyweight only,27
70,Dumbbell Skullcrusher,Triceps,,dumbbell,27
142,Stair Calves,Calves,,bodyweight only,26
150,"Walking Lunges (Quad-Focused, Bodyweight)",Quads,Glutes,bodyweight only,26
85,Hammer Machine Row (Low),Back,,machine,25
52,Dumbbell Front Raise,Shoulders,,dumbbell,25
64,Dumbbell Row (2-Arm),Back,Biceps,dumbbell,23
84,Hammer Machine Row (High),Back,,machine,22
6,Back Raise (45 Degree),Hamstrings,,bodyweight loadable,21
127,Rear Delt Fly,Shoulders,,machine,20
211,Dumbbell Press (High Incline),Shoulders,,dumbbell,20
128,Reverse Lunge (Barbell),Glutes,,barbell,18
147,Triceps cable push-down Bar,Triceps,,cable,18
50,Dumbbell Flye (Flat),Chest,,dumbbell,17
149,"Walking Lunges (Glute-Focused, Bodyweight)",Glutes,,bodyweight only,17
16,Belt Squat,Quads,Glutes,machine,17
108,Machine Pullover,Back,,machine,16
136,Smith Machine Bench Press (Medium Grip),Chest,,smith machine,16
15,Barbell Squat (Sumo Stance),Glutes,,barbell,16
27,Cable Lateral Raise (Single-Arm),Shoulders,,cable,16
38,Cable Upright Row,Shoulders,,cable,16
63,Dumbbell Rotator Cuff Rotation (External),Shoulders,,dumbbell,16
43,Deadlift (Deficit),Glutes,,barbell,15
102,Machine Leg Extension (MaxPump),Quads,,machine,15
119,Power Squat,Quads,,machine,15
215,Dumbbell Shrug,Traps,,dumbbell,15
22,Cable Flye,Chest,,cable,14
